"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5693,1,281875,306751,318043,332755,351362,364152,376166,397439,426255,440966,0,0,0,0,0,0,0,0,0
5694,1,296861,314873,320112,328556,337650,341932,354700,365090,383903,395538,410343,423435,427434,435650,441367,469407,481238,500767,0
5695,1,262132,284840,301364,319658,338804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5696,1,281875,306751,318043,332755,351362,364152,376166,397439,426255,440966,456609,471780,490140,500681,511983,556579,575006,602212,615116
5697,1,262132,284840,301364,319658,338804,354249,365942,385334,413513,421407,437617,457075,468149,476229,481232,492759,512117,535403,551343
5698,1,270270,297313,323017,341689,363922,383281,396998,0,0,0,0,0,0,0,0,0,0,0,0
5699,1,308397,342855,372419,408096,437556,453199,489205,521739,548362,565820,578165,587780,595433,606008,621909,645249,669601,720837,751867
5700,1,296861,314873,320112,328556,337650,341932,354700,365090,383903,395538,410343,423435,427434,435650,441367,469407,481238,500767,522292
5701,1,265753,282919,291290,303735,317386,329158,342352,360520,383781,393697,409249,419243,436934,445790,461016,486772,503499,541674,552617
5702,1,286826,308750,318351,323732,333724,344911,353080,373562,392327,403030,411717,423185,432602,448543,452671,473903,487534,523972,541002
5703,1,265753,282919,291290,303735,317386,329158,342352,360520,383781,393697,409249,419243,436934,445790,461016,486772,503499,541674,552617
5704,1,250421,266597,274485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
